UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,1,2018,9,4130719,2108509,2022210,1519708,1450316,320506,312214,33551,32231,110831,107148,6322,6156,117591,114145,1627655,1555155,383788,374442,57465,55291,153616,148137,14831,14226,1566632,1501839,1055095,1004457,290846,283759,17718,17222,104808,101359,4271,4132,93894,90910,1141587,1088389,342305,334346,33311,32042,140541,135489,10533,10013,541877,520371,464613,445859,29660,28455,15833,15009,6023,5789,2051,2024,23697,23235,486068,466766,41483,40096,24154,23249,13075,12648,4298,4213
R,1,2018,10,4181038,2134675,2046363,1544450,1474029,321115,313004,34320,33399,113186,108363,6348,6160,115256,111408,1650128,1576118,382846,373492,58193,56435,155255,148444,14752,14130,1585485,1518724,1072429,1020762,291816,284786,17882,17772,107202,102773,4289,4113,91867,88518,1157067,1102160,341929,333759,33406,32650,142226,136089,10516,9961,549190,527639,472021,453267,29299,28218,16438,15627,5984,5590,2059,2047,23389,22890,493061,473958,40917,39733,24787,23785,13029,12355,4236,4169
R,1,2018,11,4179884,2135422,2044462,1551749,1480482,320139,310365,34668,32883,110812,106699,6187,6041,111867,107992,1654297,1579452,379400,368348,58102,55519,152006,145582,14414,13847,1590525,1520782,1082396,1029522,291595,282635,18097,17483,104887,101126,4214,4036,89336,85980,1164640,1108618,339828,329922,33373,32144,139261,133495,10255,9761,544897,523680,469353,450960,28544,27730,16571,15400,5925,5573,1973,2005,22531,22012,489657,470834,39572,38426,24729,23375,12745,12087,4159,4086
R,1,2018,12,4148119,2119322,2028797,1551042,1474313,311396,303980,33939,32985,110269,108577,6177,6125,106499,102817,1648557,1568354,367162,358305,56831,54891,149604,146388,13922,13504,1585828,1517972,1090036,1032857,284007,277538,17970,17694,104691,103333,4129,4191,84995,82359,1168163,1108423,329434,321925,32877,31957,137664,135090,9843,9693,533494,510825,461006,441456,27389,26442,15969,15291,5578,5244,2048,1934,21504,20458,480394,459931,37728,36380,23954,22934,11940,11298,4079,3811
R,1,2018,13,4151435,2117723,2033712,1554025,1482623,309611,301120,33446,32217,111982,111671,6143,5897,102516,100184,1647794,1574118,362680,353368,55894,54135,150111,148475,13646,13205,1596126,1531567,1101866,1047716,283165,275571,18070,17177,106403,106420,4280,4131,82342,80552,1177522,1121512,326494,318433,32968,31731,138474,137474,9864,9588,521597,502145,452159,434907,26446,25549,15376,15040,5579,5251,1863,1766,20174,19632,470272,452606,36186,34935,22926,22404,11637,11001,3782,3617
R,1,2018,14,4142145,2112249,2029896,1557509,1486120,306613,298719,32390,31821,111082,111337,5967,5680,98688,96219,1647693,1574067,357094,348283,54620,53444,147729,146899,13316,12767,1602588,1536727,1115049,1058137,280960,273990,17588,17113,105733,106182,4149,3980,79109,77325,1187605,1129104,322231,314642,32327,31609,136557,136004,9651,9280,509661,493169,442460,427983,25653,24729,14802,14708,5349,5155,1818,1700,19579,18894,460088,444963,34863,33641,22293,21835,11172,10895,3665,3487
R,1,2018,15,4131663,2106262,2025401,1552567,1482790,309904,302671,32810,31656,110574,110448,5979,5733,94428,92103,1638615,1566686,357990,349985,54680,53067,145418,144105,13189,12564,1601115,1536175,1113453,1057044,284482,278392,17799,17233,105269,105538,4202,4006,75910,73962,1182855,1124723,323934,317156,32400,31559,134579,133813,9636,9141,505147,489226,439114,425746,25422,24279,15011,14423,5305,4910,1777,1727,18518,18141,455760,441963,34056,32829,22280,21508,10839,10292,3553,3423
R,1,2018,16,4161839,2123397,2038442,1566355,1494852,317279,308452,32631,31240,108648,107582,5819,5654,92665,90662,1650735,1577416,364576,355073,54690,53025,142351,140144,12800,12454,1621348,1553698,1129333,1072568,292041,284351,17962,17293,103666,102695,4083,3927,74263,72864,1197154,1139192,330749,322671,32761,31970,131974,130082,9359,9059,502049,484744,437022,422284,25238,24101,14669,13947,4982,4887,1736,1727,18402,17798,453581,438224,33827,32402,21929,21055,10377,10062,3441,3395
R,1,2018,17,4298950,2196759,2102191,1614224,1534516,333770,323746,33548,32431,116164,115259,6009,5858,93044,90381,1698889,1616549,380791,370094,56245,54425,150116,147762,13035,12718,1684866,1611391,1167832,1107156,308306,299118,18709,17911,110989,110373,4304,4106,74726,72727,1235964,1173399,346796,337120,34043,32960,139640,137701,9638,9274,511893,490800,446392,427360,25464,24628,14839,14520,5175,4886,1705,1752,18318,17654,462925,443150,33995,32974,22202,21465,10476,10061,3397,3444
R,1,2018,18,4247889,2172990,2074899,1602359,1520916,329180,317996,33048,31897,112791,111428,5913,5586,89699,87076,1683872,1599756,374675,362688,55544,53693,144672,142195,12871,12324,1673406,1597020,1166455,1104207,304178,294084,18565,18002,107826,106698,4199,3979,72183,70050,1232268,1167771,341530,330908,33946,32947,134735,132515,9467,9102,499584,477879,435904,416709,25002,23912,14483,13895,4965,4730,1714,1607,17516,17026,451604,431985,33145,31780,21598,20746,9937,9680,3404,3222
