UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,2,2018,51,4033732,1986496,2047236,1573657,1581636,248010,282834,23563,23539,108863,123780,4555,4485,27848,30962,1596847,1607277,256375,293263,36730,38122,119062,134770,7963,8106,1660244,1726298,1279986,1294476,235238,268328,13805,14920,105969,120807,3447,3416,21799,24351,1297881,1314398,241041,275842,23832,26094,114753,130269,6323,6445,326252,320938,293671,287160,12772,14506,9758,8619,2894,2973,1108,1069,6049,6611,298966,292879,15334,17421,12898,12028,4309,4501,1640,1661
R,2,2018,52,4170243,2054825,2115418,1626746,1634049,259942,293959,24541,24401,110945,127214,4521,4514,28130,31281,1650142,1659958,268231,304135,38218,39434,121017,138325,7962,8221,1728181,1795732,1333310,1348482,246718,279211,14581,15642,108124,124149,3474,3505,21974,24743,1351325,1368706,252463,286568,25004,27349,116825,133698,6358,6607,326644,319686,293436,285567,13224,14748,9960,8759,2821,3065,1047,1009,6156,6538,298817,291252,15768,17567,13214,12085,4192,4627,1604,1614
R,2,2018,53,4417570,2170405,2247165,1730197,1749983,269305,306301,25133,25373,112346,128666,4580,4724,28844,32118,1754246,1776509,277520,316573,39486,41386,122612,139704,8060,8519,1847981,1927047,1440127,1463506,256584,291758,15467,16648,109497,125746,3572,3709,22734,25680,1458831,1484436,262302,299243,26540,29372,118393,135312,6485,6916,322424,320118,290070,286477,12721,14543,9666,8725,2849,2920,1008,1015,6110,6438,295415,292073,15218,17330,12946,12014,4219,4392,1575,1603
R,2,2018,54,4392399,2147625,2244774,1719050,1756559,260035,297127,24383,24830,111464,129977,4302,4565,28391,31716,1742660,1782699,267913,306936,38823,40780,121497,140909,7749,8403,1845159,1938916,1447309,1483293,247760,283198,15323,16330,108828,127119,3327,3594,22612,25382,1465903,1503942,253317,290316,26628,29081,117553,136546,6236,6817,302466,305858,271741,273266,12275,13929,9060,8500,2636,2858,975,971,5779,6334,276757,278757,14596,16620,12195,11699,3944,4363,1513,1586
R,2,2018,55,4398344,2147187,2251157,1723660,1769078,257928,296021,23922,24635,109621,125597,4268,4515,27788,31311,1746835,1794796,265478,305794,37915,40765,119520,136152,7671,8214,1856645,1955242,1462260,1504343,246363,282879,15168,16431,107014,122843,3371,3595,22469,25151,1480795,1524748,251703,289986,26361,29374,115700,131965,6298,6692,290542,295915,261400,264735,11565,13142,8754,8204,2607,2754,897,920,5319,6160,266040,270048,13775,15808,11554,11391,3820,4187,1373,1522
R,2,2018,56,4378148,2133176,2244972,1730384,1781168,250307,290219,23277,24332,97517,114480,4186,4229,27505,30544,1753289,1806183,257669,299759,37474,40420,107224,124615,7523,7821,1860029,1966440,1484641,1531944,239500,277939,15108,16627,95178,111872,3371,3372,22231,24686,1502960,1551935,244735,284908,26471,29706,103656,120641,6204,6372,273147,278532,245743,249224,10807,12280,8169,7705,2339,2608,815,857,5274,5858,250329,254248,12934,14851,11003,10714,3568,3974,1319,1449
R,2,2018,57,4459136,2166655,2292481,1753420,1814856,257008,297618,23259,24467,101434,120982,4137,4340,27397,30218,1776314,1839601,264208,306728,37523,40496,111006,131095,7421,7912,1895964,2013760,1509922,1564846,246323,285407,15061,16981,99021,118340,3331,3511,22306,24675,1528345,1584818,251515,292199,26564,30080,107467,127119,6097,6549,270691,278721,243498,250010,10685,12211,8198,7486,2413,2642,806,829,5091,5543,247969,254783,12693,14529,10959,10416,3539,3976,1324,1363
R,2,2018,58,4425594,2153720,2271874,1747326,1802027,253603,294671,22667,23855,99383,117880,4094,4062,26647,29379,1769560,1826101,260507,303666,36581,39609,108857,127465,7271,7493,1894917,2006295,1514481,1564321,243307,282761,14949,16599,97105,115377,3291,3294,21784,23943,1532515,1583685,248270,289448,26237,29507,105425,123701,5973,6195,258803,265579,232845,237706,10296,11910,7718,7256,2278,2503,803,768,4863,5436,237045,242416,12237,14218,10344,10102,3432,3764,1298,1298
R,2,2018,59,4255423,2057639,2197784,1674380,1749303,239104,279976,20652,22391,95001,114614,3679,3858,24823,27642,1695038,1771965,245554,288203,33981,37537,103517,123595,6524,6957,1825215,1952633,1465543,1529617,229488,268965,13877,15765,92924,112340,2979,3162,20404,22784,1482367,1548121,234144,275109,24819,28346,100449,120180,5399,5822,232424,245151,208837,219686,9616,11011,6775,6626,2077,2274,700,696,4419,4858,212671,223844,11410,13094,9162,9191,3068,3415,1125,1135
R,2,2018,60,4269262,2058931,2210331,1682024,1767994,234079,276129,20685,22070,93976,113291,3567,3751,24600,27096,1702390,1790150,240489,284242,33996,37198,102402,121811,6431,6818,1833764,1970514,1479601,1552664,225002,265558,13897,15723,91997,111231,2916,3037,20351,22301,1496284,1570683,229706,271619,24900,28290,99499,118658,5359,5663,225167,239817,202423,215330,9077,10571,6788,6347,1979,2060,651,714,4249,4795,206106,219467,10783,12623,9096,8908,2903,3153,1072,1155
R,2,2018,61,4139444,1986729,2152715,1625872,1720481,223686,270006,19505,21182,91142,111380,3380,3491,23144,26175,1645139,1741997,229724,277769,32238,36083,98838,119397,6022,6450,1775971,1924999,1436602,1516357,215033,259752,13151,15159,89279,109246,2742,2900,19164,21585,1452400,1533892,219424,265525,23695,27621,96135,116221,5026,5420,210758,227716,189270,204124,8653,10254,6354,6023,1863,2134,638,591,3980,4590,192739,208105,10300,12244,8543,8462,2703,3176,996,1030
R,2,2018,62,4031919,1929278,2102641,1582489,1684746,213029,258274,18722,20441,89667,110818,3161,3473,22210,24889,1600950,1705024,218740,265689,30920,34546,97068,118582,5710,6253,1727351,1881631,1401018,1486266,204638,248575,12740,14683,87895,108791,2614,2840,18446,20476,1416197,1502742,208776,254077,22891,26458,94482,115540,4827,5203,201927,221010,181471,198480,8391,9699,5982,5758,1772,2027,547,633,3764,4413,184753,202282,9964,11612,8029,8088,2586,3042,883,1050
R,2,2018,63,3976397,1896785,2079612,1561963,1673384,205163,250892,17717,19336,87802,108904,3067,3309,21073,23787,1579427,1692772,210538,257933,29526,32886,94755,116165,5474,6044,1706183,1868233,1389870,1482512,197457,241977,12402,14233,86169,107051,2548,2746,17737,19714,1404432,1498345,201439,247255,22400,25642,92393,113433,4639,5112,190602,211379,172093,190872,7706,8915,5315,5103,1633,1853,519,563,3336,4073,174995,194427,9099,10678,7126,7244,2362,2732,835,932
R,2,2018,64,3746682,1775919,1970763,1473244,1596720,184331,231334,16167,17726,80112,100044,2681,2973,19384,21966,1489417,1614647,189132,237715,27289,30495,86300,106678,4841,5457,1604955,1778368,1319007,1422956,177278,223199,11380,13072,78709,98373,2226,2478,16355,18290,1332568,1437692,180816,227975,20861,23855,84231,104237,4118,4659,170964,192395,154237,173764,7053,8135,4787,4654,1403,1671,455,495,3029,3676,156849,176955,8316,9740,6428,6640,2069,2441,723,798
R,2,2018,65,3656867,1728484,1928383,1439420,1566501,173933,221624,15015,16902,79534,99954,2689,2885,17893,20517,1454243,1583269,178397,227515,25226,28926,85334,106111,4757,5259,1569161,1745919,1295565,1401408,167369,213919,10650,12549,78177,98343,2290,2425,15110,17275,1307961,1415362,170664,218442,19378,22852,83353,103740,4095,4475,159323,182464,143855,165093,6564,7705,4365,4353,1357,1611,399,460,2783,3242,146282,167907,7733,9073,5848,6074,1981,2371,662,784
R,2,2018,66,3480698,1640938,1839760,1376020,1502460,161634,209483,13874,15678,70320,90431,2361,2619,16729,19089,1389880,1518161,165770,214983,23758,27192,75480,95776,4297,4752,1492934,1670797,1241756,1349717,155848,202204,10039,11682,69120,88969,2001,2208,14170,16017,1253401,1362701,158949,206387,18453,21567,73749,93655,3696,4060,148004,168963,134264,152743,5786,7279,3835,3996,1200,1462,360,411,2559,3072,136479,155460,6821,8596,5305,5625,1731,2121,601,692
R,2,2018,67,3350635,1573249,1777386,1309843,1441260,158932,205884,13535,15194,72430,94282,2390,2511,16119,18255,1323255,1456071,162940,211264,22990,26021,77402,99674,4237,4631,1430068,1610659,1180163,1290401,153115,198796,9864,11224,71233,92786,2027,2143,13666,15309,1191431,1302674,156076,202888,17996,20491,75678,97483,3670,3964,143181,166727,129680,150859,5817,7088,3671,3970,1197,1496,363,368,2453,2946,131824,153397,6864,8376,4994,5530,1724,2191,567,667
R,2,2018,68,3292416,1546880,1745536,1294472,1422642,150058,196666,12998,14348,71867,91950,2351,2548,15134,17382,1307031,1436779,153784,201744,22088,24785,76388,96853,4131,4564,1412481,1588440,1172523,1280181,144726,190001,9545,10806,70808,90618,1983,2162,12896,14672,1183152,1291979,147563,193893,17371,19828,74824,94912,3548,3927,134399,157096,121949,142461,5332,6665,3453,3542,1059,1332,368,386,2238,2710,123879,144800,6221,7851,4717,4957,1564,1941,583,637
R,2,2018,69,3180546,1490228,1690318,1256378,1390038,138290,183233,12073,13444,67158,84801,2176,2379,14153,16423,1268104,1403537,141754,187944,20587,23379,71423,89390,3798,4206,1367517,1544565,1144938,1257720,133456,177195,8999,10184,66156,83548,1849,2039,12119,13879,1154899,1269009,136100,180789,16391,18831,69959,87546,3285,3630,122711,145753,111440,132318,4834,6038,3074,3260,1002,1253,327,340,2034,2544,113205,134528,5654,7155,4196,4548,1464,1844,513,576
R,2,2018,70,3239946,1516710,1723236,1297532,1440788,129136,172094,11526,12755,62575,79219,2020,2132,13921,16248,1309181,1454256,132521,176638,20101,22782,66521,83635,3599,3916,1398921,1582894,1190404,1313047,124650,166361,8561,9752,61621,78071,1733,1826,11952,13837,1200329,1324392,127231,169883,16055,18493,65115,81968,3145,3409,117789,140342,107128,127741,4486,5733,2965,3003,954,1148,287,306,1969,2411,108852,129864,5290,6755,4046,4289,1406,1667,454,507
R,2,2018,71,2947366,1374757,1572609,1181203,1320447,112315,151788,10466,11633,56420,72219,1805,1861,12548,14661,1191800,1332635,115244,155761,18182,20575,59938,76268,3256,3516,1269220,1443974,1085028,1203321,108336,146499,7866,8957,55657,71129,1544,1585,10789,12483,1094101,1213594,110571,149567,14641,16728,58768,74708,2813,3056,105537,128635,96175,117126,3979,5289,2600,2676,763,1090,261,276,1759,2178,97699,119041,4673,6194,3541,3847,1170,1560,443,460
R,2,2018,72,2358808,1090946,1267862,925089,1050147,96003,132293,8506,9725,49594,61951,1632,1759,10122,11987,933500,1060040,98423,135559,14513,16820,52654,65429,2909,3193,996594,1150467,838977,943053,92429,127489,6258,7288,48865,61032,1414,1511,8651,10094,846105,951301,94252,129957,11474,13379,51586,64073,2531,2783,94352,117395,86112,107094,3574,4804,2248,2437,729,919,218,248,1471,1893,87395,108739,4171,5602,3039,3441,1068,1356,378,410
R,2,2018,73,2331304,1070944,1260360,913196,1048818,91296,128387,8053,9370,47181,60293,1441,1647,9777,11845,921414,1058615,93604,131691,13879,16454,50036,63644,2685,3078,984006,1150287,833724,948201,88059,124081,6042,7085,46521,59417,1244,1414,8416,10089,840738,956476,89812,126609,11164,13263,49066,62365,2360,2694,86938,110073,79472,100617,3237,4306,2011,2285,660,876,197,233,1361,1756,80676,102139,3792,5082,2715,3191,970,1279,325,384
R,2,2018,74,2297180,1049036,1248144,904089,1052910,84600,120663,7348,8762,42759,53214,1315,1366,8925,11229,911631,1062271,86553,123710,12853,15581,45271,56250,2448,2701,970441,1145660,832163,959114,81619,116688,5587,6730,42159,52427,1153,1186,7760,9515,838704,966980,83124,119000,10469,12669,44392,55080,2158,2375,78595,102484,71926,93796,2981,3975,1761,2032,600,787,162,180,1165,1714,72927,95291,3429,4710,2384,2912,879,1170,290,326
R,2,2018,75,2214755,1005598,1209157,868413,1021969,79421,115477,6847,8132,41438,51902,1134,1333,8345,10344,875426,1030581,81385,118266,12020,14517,43727,54670,2103,2490,933160,1111408,802076,932580,76613,111543,5319,6178,40911,51164,986,1126,7255,8817,808161,939876,78127,113662,9935,11784,42939,53590,1834,2157,72438,97749,66337,89389,2808,3934,1528,1954,527,738,148,207,1090,1527,67265,90705,3258,4604,2085,2733,788,1080,269,333
R,2,2018,76,1913695,860356,1053339,740083,886228,68950,102704,6078,7115,36891,46935,1030,1143,7324,9214,746198,893893,70644,105174,10522,12746,39020,49461,1911,2173,795618,967277,680789,807153,66494,99474,4682,5496,36408,46278,899,960,6346,7916,686063,813693,67795,101388,8623,10447,38297,48495,1683,1883,64738,86062,59294,79075,2456,3230,1396,1619,483,657,131,183,978,1298,60135,80200,2849,3786,1899,2299,723,966,228,290
R,2,2018,77,1759831,782438,977393,669827,819443,63511,96853,5529,6713,35852,44923,971,1092,6748,8369,675479,826381,65017,99119,9590,11724,37902,47308,1797,2078,721004,893898,613450,742774,61209,93598,4239,5193,35402,44293,850,918,5854,7122,618339,748627,62358,95328,7821,9555,37227,46392,1582,1786,61434,83495,56377,76669,2302,3255,1290,1520,450,630,121,174,894,1247,57140,77754,2659,3791,1769,2169,675,916,215,292
R,2,2018,78,1630933,721485,909448,617599,761753,58707,90720,4918,6134,33229,41708,875,1113,6157,8020,622793,768418,60103,92889,8525,10916,35106,43966,1624,2075,664575,831341,565417,690071,56519,87664,3760,4731,32789,41118,753,918,5337,6839,569892,695730,57588,89300,6940,8912,34479,43105,1426,1759,56910,78107,52182,71682,2188,3056,1158,1403,440,590,122,195,820,1181,52901,72688,2515,3589,1585,2004,627,861,198,316
R,2,2018,79,1540860,676313,864547,582947,730416,52598,82761,4483,5665,30062,37658,744,958,5479,7089,587574,736333,53847,84638,7804,9896,31682,39679,1365,1785,624446,791629,535247,663422,50673,79909,3461,4359,29695,37136,630,796,4740,6007,539223,668403,51619,81326,6387,8032,31137,38900,1192,1507,51867,72918,47700,66994,1925,2852,1022,1306,367,522,114,162,739,1082,48351,67930,2228,3312,1417,1864,545,779,173,278
R,2,2018,80,1420552,616127,804425,530511,678051,48050,77818,3999,5207,27802,35929,708,920,5057,6500,534806,683471,49248,79599,6992,8976,29319,37784,1281,1710,568428,736850,486603,615996,46328,75161,3064,4008,27467,35427,598,759,4368,5499,490299,620541,47229,76508,5706,7289,28817,37052,1097,1453,47699,67575,43908,62055,1722,2657,935,1199,335,502,110,161,689,1001,44507,62930,2019,3091,1286,1687,502,732,184,257
R,2,2018,81,1300946,555689,745257,479643,630060,42408,71096,3497,4674,25039,32723,616,780,4486,5924,483449,634985,43414,72710,6081,8129,26465,34434,1142,1474,511980,682145,439295,571871,40765,68699,2716,3565,24754,32267,535,666,3915,5077,442596,576062,41523,69944,5017,6585,26048,33790,1011,1281,43709,63112,40348,58189,1643,2397,781,1109,285,456,81,114,571,847,40853,58923,1891,2766,1064,1544,417,644,131,193
R,2,2018,82,1218146,512253,705893,442351,595994,39663,68222,3159,4407,22520,30889,556,724,4004,5657,445699,600691,40582,69735,5470,7700,23763,32529,1072,1364,471827,646515,405041,541294,38149,65979,2434,3358,22253,30457,485,601,3465,4826,407931,545272,38841,67144,4478,6228,23363,31895,938,1170,40426,59378,37310,54700,1514,2243,725,1049,267,432,71,123,539,831,37768,55419,1741,2591,992,1472,400,634,134,194
R,2,2018,83,1123155,465066,658089,402973,558387,35205,62469,2780,3954,20000,27468,497,634,3611,5177,406068,562693,35996,63856,4837,6977,21130,29013,945,1234,428788,603628,369335,508116,33954,60462,2137,2993,19750,27072,432,537,3180,4448,372054,511796,34577,61529,3986,5644,20753,28440,840,1063,36278,54461,33638,50271,1251,2007,643,961,250,396,65,97,431,729,34014,50897,1419,2327,851,1333,377,573,105,171
R,2,2018,84,988162,401932,586230,348759,496803,29829,55453,2349,3364,17438,25437,461,573,3096,4600,351397,500645,30513,56660,4107,6010,18447,26807,832,1135,370784,537918,319892,452151,28761,53650,1799,2563,17230,25091,394,501,2708,3962,322196,455444,29287,54582,3360,4899,18143,26310,726,994,31148,48312,28867,44652,1068,1803,550,801,208,346,67,72,388,638,29201,45201,1226,2078,747,1111,304,497,106,141
R,2,2018,85,942823,374747,568076,325872,482945,27630,53045,2133,3260,15917,24050,401,525,2794,4251,328234,486503,28268,54198,3670,5711,16843,25268,753,1054,346465,522739,299628,441026,26648,51355,1631,2507,15722,23730,358,453,2478,3668,301716,444075,27156,52271,3010,4683,16563,24792,679,920,28282,45337,26244,41919,982,1690,502,753,195,320,43,72,316,583,26518,42428,1112,1927,660,1028,280,476,74,134
R,2,2018,86,848965,331923,517042,292566,445604,21698,43821,1732,2737,13242,20645,337,437,2348,3798,294584,448788,22241,44827,3023,4947,14015,21724,632,892,306657,476815,268965,408265,20957,42449,1307,2068,13090,20395,287,382,2051,3256,270714,410974,21389,43224,2442,3998,13792,21358,546,781,25266,40227,23601,37339,741,1372,425,669,152,250,50,55,297,542,23870,37814,852,1603,581,949,223,366,86,111
R,2,2018,87,798045,303702,494343,266910,425498,20097,41701,1584,2585,12563,20536,323,435,2225,3588,268797,428515,20586,42671,2820,4620,13310,21597,601,854,280287,455366,245117,389297,19335,40392,1178,1928,12432,20298,287,364,1938,3087,246763,391874,19716,41135,2261,3718,13098,21238,537,744,23415,38977,21793,36201,762,1309,406,657,131,238,36,71,287,501,22034,36641,870,1536,559,902,212,359,64,110
R,2,2018,88,699672,259366,440306,228159,379339,17114,37639,1388,2174,10578,17708,275,388,1852,3058,229743,381874,17542,38490,2440,3919,11152,18585,511,756,239305,406697,209475,348090,16477,36488,1047,1662,10466,17482,240,336,1600,2639,210840,350271,16806,37150,1970,3204,10971,18255,443,658,20061,33609,18684,31249,637,1151,341,512,112,226,35,52,252,419,18903,31603,736,1340,470,715,181,330,68,98
R,2,2018,89,614144,221711,392433,195960,339562,14014,32497,1128,1844,8836,15389,201,340,1572,2801,197276,341901,14376,33283,2026,3450,9338,16179,393,684,205059,363561,180403,312833,13495,31437,849,1382,8746,15206,179,287,1387,2416,181558,314827,13788,32057,1660,2810,9199,15908,348,593,16652,28872,15557,26729,519,1060,279,462,90,183,22,53,185,385,15718,27074,588,1226,366,640,139,271,45,91
R,2,2018,90,540643,189032,351611,167008,305140,11866,28724,912,1643,7739,13417,162,269,1345,2418,168153,307163,12155,29348,1660,3075,8175,14086,336,578,175467,327055,154302,282352,11480,27850,689,1241,7664,13260,141,228,1191,2124,155313,284118,11712,28346,1356,2527,8064,13859,300,502,13565,24556,12706,22788,386,874,223,402,75,157,21,41,154,294,12840,23045,443,1002,304,548,111,227,36,76
R,2,2018,91,455250,154433,300817,136415,261466,9687,24161,740,1413,6356,11498,125,240,1110,2039,137362,263196,9945,24736,1368,2563,6700,12056,263,479,143342,280163,126057,242346,9336,23399,581,1071,6292,11358,108,211,968,1778,126883,243842,9534,23862,1140,2097,6598,11859,224,424,11091,20654,10358,19120,351,762,159,342,64,140,17,29,142,261,10479,19354,411,874,228,466,102,197,39,55
R,2,2018,92,382744,124755,257989,109877,224109,7870,20749,595,1121,5423,10022,91,198,899,1790,110640,225599,8093,21268,1088,2153,5708,10501,202,408,115893,240798,101601,208166,7615,20129,441,852,5373,9907,78,171,785,1573,102265,209472,7790,20553,874,1777,5628,10329,176,355,8862,17191,8276,15943,255,620,154,269,50,115,13,27,114,217,8375,16127,303,715,214,376,80,172,26,53
R,2,2018,93,320155,100747,219408,88734,191357,6229,17097,476,993,4528,8299,82,185,698,1477,89322,192594,6401,17540,861,1852,4762,8683,169,351,93818,205447,82257,178390,6025,16605,359,764,4487,8209,73,160,617,1319,82778,179490,6160,16979,710,1543,4692,8555,148,310,6929,13961,6477,12967,204,492,117,229,41,90,9,25,81,158,6544,13104,241,561,151,309,70,128,21,41
R,2,2018,94,251135,77052,174083,67638,151943,4745,13394,364,709,3654,6755,63,134,588,1148,68132,152899,4898,13738,683,1385,3847,7048,132,261,71480,163426,62428,142049,4575,13009,278,546,3621,6683,54,118,524,1021,62870,142896,4702,13298,565,1156,3798,6946,113,233,5572,10657,5210,9894,170,385,86,163,33,72,9,16,64,127,5262,10003,196,440,118,229,49,102,19,28
R,2,2018,95,195031,57520,137511,50093,119568,3694,10938,274,555,2987,5428,43,109,429,913,50466,120315,3797,11206,503,1068,3134,5680,100,230,53571,129215,46414,111838,3571,10646,212,442,2960,5377,36,96,378,816,46741,112500,3652,10875,412,906,3094,5601,87,202,3949,8296,3679,7730,123,292,62,113,27,51,7,13,51,97,3725,7815,145,331,91,162,40,79,13,28
R,2,2018,96,154787,44183,110604,38799,96926,2567,8395,195,450,2247,4013,41,89,334,731,39082,97531,2662,8627,384,867,2350,4203,79,177,41431,104342,36209,91106,2500,8183,156,359,2232,3977,36,79,298,638,36461,91636,2580,8378,326,732,2326,4138,68,154,2752,6262,2590,5820,67,212,39,91,15,36,5,10,36,93,2621,5895,82,249,58,135,24,65,11,23
R,2,2018,97,109477,29779,79698,25811,68987,1865,6330,135,327,1694,3438,25,63,249,553,26021,69436,1936,6509,266,643,1774,3581,57,135,27867,75146,24044,64753,1803,6180,101,259,1678,3410,21,56,220,488,24231,65148,1861,6332,217,538,1750,3537,49,121,1912,4552,1767,4234,62,150,34,68,16,28,4,7,29,65,1790,4288,75,177,49,105,24,44,8,14
R,2,2018,98,75165,19751,55414,16872,47535,1383,4818,95,221,1220,2427,22,44,159,369,16997,47833,1431,4944,182,433,1271,2520,45,94,18507,52377,15710,44723,1346,4702,75,179,1213,2410,19,39,144,324,15823,44981,1389,4809,156,370,1259,2493,38,78,1244,3037,1162,2812,37,116,20,42,7,17,3,5,15,45,1174,2852,42,135,26,63,12,27,7,16
R,2,2018,99,52385,13036,39349,11171,33986,856,3204,69,156,820,1699,14,29,106,275,11259,34215,888,3299,121,305,857,1765,30,68,12267,37324,10464,32132,829,3112,52,131,816,1687,13,25,93,237,10541,32327,856,3189,99,263,849,1744,26,61,769,2025,707,1854,27,92,17,25,4,12,1,4,13,38,718,1888,32,110,22,42,8,21,4,7
R,2,2018,100,91164,20284,70880,16647,59221,1525,6782,129,325,1752,3925,32,79,199,548,16806,59653,1590,6997,231,617,1817,4066,67,158,19038,67256,15510,55892,1483,6637,105,278,1741,3895,29,71,170,483,15647,56272,1536,6816,192,543,1795,4019,56,140,1246,3624,1137,3329,42,145,24,47,11,30,3,8,29,65,1159,3381,54,181,39,74,22,47,11,18
R,3,2018,999,326140981,160613726,165527255,123799102,125946376,20888356,22727327,2081600,2049960,9068584,9943501,400244,389090,4375840,4471001,127692703,129903074,22834237,24761939,3404991,3437647,10690188,11565373,790784,784346,130677007,136173113,97453940,100161296,19488642,21277232,1189299,1226052,8776744,9650178,293385,289558,3474997,3568797,100543942,103315799,21020490,22888485,2131589,2234856,10150325,11023364,599384,600902,29936719,29354142,26345162,25785080,1399714,1450095,892301,823908,291840,293323,106859,99532,900843,902204,27148761,26587275,1813747,1873454,1273402,1202791,539863,542009,191400,183444
R,3,2018,0,3835888,1962115,1873773,1416025,1347645,293998,285840,31537,30310,97013,91200,5787,5498,117755,113280,1524510,1451988,357528,347491,55132,52920,140256,132416,14079,13407,1454756,1386455,982117,931280,266762,259508,16356,15592,91395,85829,3966,3748,94160,90498,1069281,1015028,318437,309650,31800,30334,127356,120079,10076,9567,507359,487318,433908,416365,27236,26332,15181,14718,5618,5371,1821,1750,23595,22782,455229,436960,39091,37841,23332,22586,12900,12337,4003,3840
R,3,2018,1,3939171,2014605,1924566,1451486,1381398,301415,293337,32293,31031,102853,97050,5969,5732,120589,116018,1562554,1488240,366391,356415,56430,54166,147240,139340,14468,13846,1492586,1423231,1004846,952906,273454,266264,16716,15937,97074,91544,4103,3925,96393,92655,1094045,1038622,326258,317519,32493,31005,134016,126714,10370,9904,522019,501335,446640,428492,27961,27073,15577,15094,5779,5506,1866,1807,24196,23363,468509,449618,40133,38896,23937,23161,13224,12626,4098,3942
R,3,2018,2,3998710,2044794,1953916,1472621,1401231,304522,296817,32595,31363,107031,101314,6061,5843,121964,117348,1584928,1509288,370092,360557,57001,54760,152082,144157,14667,14043,1513192,1443588,1017476,964749,276189,269434,16791,16028,101143,95739,4170,4011,97423,93627,1107595,1051349,329420,321154,32704,31236,138658,131373,10514,10052,531602,510328,455145,436482,28333,27383,15804,15335,5888,5575,1891,1832,24541,23721,477333,457939,40672,39403,24297,23524,13424,12784,4153,3991
R,3,2018,3,4032715,2061672,1971043,1480088,1409567,308260,300718,32903,31901,111910,105756,6077,5912,122434,117189,1592791,1517426,373896,364098,57414,55396,157299,148702,14795,14146,1532492,1461117,1027337,973580,279438,272959,17156,16534,106248,100277,4262,4114,98051,93653,1117991,1060149,332733,324399,33234,31878,144221,136104,10748,10240,529180,509926,452751,435987,28822,27759,15747,15367,5662,5479,1815,1798,24383,23536,474800,457277,41163,39699,24180,23518,13078,12598,4047,3906
R,3,2018,4,3996593,2044552,1952041,1470269,1398397,307332,299102,33223,31926,107609,101775,5831,5575,120288,115266,1580953,1504428,371564,361642,57590,55194,152200,143763,14529,13727,1520313,1449259,1021439,968310,278899,271670,17524,16753,102179,96593,4090,3887,96182,92046,1110345,1053351,331018,322448,33529,31988,139374,131530,10484,9860,524239,502782,448830,430087,28433,27432,15699,15173,5430,5182,1741,1688,24106,23220,470608,451077,40546,39194,24061,23206,12826,12233,4045,3867
R,3,2018,5,4014202,2050961,1963241,1473276,1406258,306948,298835,32943,31764,112322,106205,5947,5711,119525,114468,1583116,1511450,370227,360148,57211,55076,157168,148508,14745,14015,1525878,1456682,1022552,971670,279019,271829,17593,16882,106997,100954,4204,3982,95513,91365,1110697,1055994,330237,321496,33514,32157,144505,136221,10691,10072,525083,506559,450724,434588,27929,27006,15350,14882,5325,5251,1743,1729,24012,23103,472419,455456,39990,38652,23697,22919,12663,12287,4054,3943
R,3,2018,6,4027458,2059295,1968163,1487540,1417700,308263,299284,33566,32120,106026,100889,5669,5455,118231,112715,1596226,1521296,371211,359555,57992,55408,149714,142335,14281,13645,1526978,1456025,1029779,977046,280564,272619,17803,17005,100774,95857,3930,3784,94128,89714,1116686,1059868,331421,321340,33784,32215,137136,130328,10241,9760,532317,512138,457761,440654,27699,26665,15763,15115,5252,5032,1739,1671,24103,23001,479540,461428,39790,38215,24208,23193,12578,12007,4040,3885
R,3,2018,7,4076132,2083121,1993011,1510684,1441320,310923,301613,32206,31380,104864,100134,5691,5389,118753,113175,1619936,1545349,374003,362162,56928,55197,148583,141338,14375,13543,1537949,1466933,1037647,985119,284623,275769,17815,17306,99694,95254,3978,3784,94192,89701,1124656,1067884,335420,324499,33903,32828,136010,129494,10327,9752,545172,526078,473037,456201,26300,25844,14391,14074,5170,4880,1713,1605,24561,23474,495280,477465,38583,37663,23025,22369,12573,11844,4048,3791
